date,transactions,fraud_rate,approved,reviewed,declined,caught_fraud,missed_fraud,false_declines
2026-12-10,960,0.07604166666666666,751,209,0,39,34,0
2026-12-11,1440,0.07013888888888889,1106,334,0,53,48,0
2026-12-12,1440,0.0798611111111111,1001,439,0,72,43,0
2026-12-13,1440,0.06875,1040,400,0,61,38,0
2026-12-14,1440,0.07152777777777777,1057,383,0,72,31,0
2026-12-15,1440,0.09583333333333334,1109,331,0,65,73,0
2026-12-16,1440,0.0798611111111111,1097,343,0,61,54,0
2026-12-17,1440,0.06875,1076,364,0,53,46,0
2026-12-18,1440,0.07013888888888889,1094,346,0,53,48,0
2026-12-19,1440,0.08541666666666667,1028,412,0,77,46,0
2026-12-20,1440,0.08125,996,444,0,74,43,0
2026-12-21,1440,0.07361111111111111,1065,375,0,54,52,0
2026-12-22,1440,0.07013888888888889,1098,342,0,54,47,0
2026-12-23,1440,0.08055555555555556,1122,318,0,59,57,0
2026-12-24,1440,0.06111111111111111,1081,359,0,49,39,0
2026-12-25,1440,0.09305555555555556,1065,375,0,74,60,0
2026-12-26,1440,0.0798611111111111,1004,436,0,76,39,0
2026-12-27,1440,0.07777777777777778,1048,392,0,59,53,0
2026-12-28,1440,0.08125,1090,350,0,62,55,0
2026-12-29,1440,0.0875,1067,373,0,69,57,0
2026-12-30,1440,0.07777777777777778,1089,351,0,50,62,0
2026-12-31,1440,0.07152777777777777,1065,375,0,69,34,0
2027-01-01,1440,0.05555555555555555,1067,373,0,44,36,0
2027-01-02,1440,0.07291666666666667,1020,420,0,59,46,0
2027-01-03,1440,0.06875,1007,433,0,62,37,0
2027-01-04,1440,0.08055555555555556,1078,362,0,56,60,0
2027-01-05,1440,0.07013888888888889,1086,354,0,58,43,0
2027-01-06,1440,0.07361111111111111,1069,371,0,57,49,0
2027-01-07,1440,0.06666666666666667,1054,386,0,53,43,0
2027-01-08,1440,0.07777777777777778,1103,337,0,66,46,0
2027-01-09,1440,0.08055555555555556,998,442,0,74,42,0
2027-01-10,1440,0.09444444444444444,1029,411,0,81,55,0
2027-01-11,1440,0.06388888888888888,1099,341,0,46,46,0
2027-01-12,1440,0.07361111111111111,1094,346,0,59,47,0
2027-01-13,1440,0.07569444444444444,1112,328,0,51,58,0
2027-01-14,1440,0.075,1096,344,0,54,54,0
2027-01-15,1440,0.07569444444444444,1066,374,0,60,49,0
2027-01-16,1440,0.09166666666666666,999,441,0,78,54,0
2027-01-17,1440,0.08680555555555555,993,447,0,76,49,0
2027-01-18,1440,0.075,1085,355,0,64,44,0
2027-01-19,1440,0.0763888888888889,1085,355,0,64,46,0
2027-01-20,1440,0.08263888888888889,1083,357,0,72,47,0
2027-01-21,1440,0.07430555555555556,1091,349,0,57,50,0
2027-01-22,1440,0.06527777777777778,1087,353,0,47,47,0
2027-01-23,1440,0.07708333333333334,1021,419,0,67,44,0
2027-01-24,1440,0.075,1013,427,0,71,37,0
2027-01-25,1440,0.08333333333333333,1091,349,0,65,55,0
2027-01-26,1440,0.0763888888888889,1090,350,0,55,55,0
2027-01-27,1440,0.06944444444444445,1071,369,0,56,44,0
2027-01-28,1440,0.06666666666666667,1107,333,0,47,49,0
2027-01-29,1440,0.06944444444444445,1099,341,0,54,46,0
2027-01-30,1440,0.08611111111111111,997,443,0,83,41,0
2027-01-31,1440,0.08125,1024,416,0,67,50,0
2027-02-01,1440,0.07708333333333334,1060,380,0,57,54,0
2027-02-02,1440,0.06875,1081,359,0,60,39,0
2027-02-03,1440,0.0875,1077,363,0,54,72,0
2027-02-04,1440,0.06597222222222222,1077,363,0,53,42,0
2027-02-05,1440,0.06597222222222222,1067,373,0,54,41,0
2027-02-06,1440,0.08055555555555556,1031,409,0,70,46,0
2027-02-07,1440,0.08055555555555556,1028,412,0,59,57,0
2027-02-08,1440,0.075,1074,366,0,60,48,0
2027-02-09,1440,0.08194444444444444,1077,363,0,69,49,0
2027-02-10,1440,0.07291666666666667,1078,362,0,57,48,0
2027-02-11,1440,0.08125,1101,339,0,69,48,0
2027-02-12,1440,0.07777777777777778,1056,384,0,63,49,0
2027-02-13,1440,0.09027777777777778,1002,438,0,92,38,0
2027-02-14,1440,0.08958333333333333,1019,421,0,79,50,0
2027-02-15,1440,0.06388888888888888,1104,336,0,42,50,0
2027-02-16,1440,0.0763888888888889,1057,383,0,57,53,0
2027-02-17,1440,0.07152777777777777,1084,356,0,53,50,0
2027-02-18,1440,0.09305555555555556,1060,380,0,82,52,0
2027-02-19,1440,0.08333333333333333,1057,383,0,69,51,0
2027-02-20,1440,0.08194444444444444,998,442,0,72,46,0
2027-02-21,1440,0.09513888888888888,1005,435,0,78,59,0
2027-02-22,1440,0.06597222222222222,1097,343,0,47,48,0
2027-02-23,1440,0.07777777777777778,1084,356,0,70,42,0
2027-02-24,1440,0.0798611111111111,1086,354,0,60,55,0
2027-02-25,1440,0.08472222222222223,1086,354,0,65,57,0
2027-02-26,1440,0.06805555555555555,1073,367,0,56,42,0
