transaction_id,timestamp,customer_id,merchant_id,merchant_category,channel,amount_gbp,risk_score,decision,reason_code,fraud_label
1020001,2026-12-10 08:00:49,33657,1094,restaurants,transfer,18.63,0.0195803280407251,approve,GENERAL_RISK,0
1020002,2026-12-10 08:01:20,70759,8946,travel,ecommerce,16.51,0.1935568027518191,review,GENERAL_RISK,0
1020003,2026-12-10 08:02:28,32926,4597,fuel,ecommerce,8.7,0.1398929460475426,review,HIGH_IP_RISK,0
1020004,2026-12-10 08:03:30,31135,1606,travel,card_present,14.24,0.0425733158012799,approve,GENERAL_RISK,0
1020005,2026-12-10 08:04:14,98386,6003,grocery,ecommerce,24.61,0.0366287306506095,approve,GENERAL_RISK,0
1020006,2026-12-10 08:05:47,97156,5523,electronics,card_present,215.92,0.0185440604073399,approve,AMOUNT_SPIKE,0
1020007,2026-12-10 08:06:10,31084,11903,gaming,ecommerce,24.95,0.0860266582131871,approve,GENERAL_RISK,0
1020008,2026-12-10 08:07:23,105761,9597,fashion,card_present,96.11,0.0584213988371023,approve,GENERAL_RISK,0
1020009,2026-12-10 08:08:46,9145,5632,restaurants,ecommerce,18.78,0.03736187299665,approve,VERY_NEW_ACCOUNT,0
1020010,2026-12-10 08:09:23,7877,6964,grocery,ecommerce,17.03,0.0396916108927114,approve,VERY_NEW_ACCOUNT,0
1020011,2026-12-10 08:10:08,62602,1009,fashion,ecommerce,19.76,0.1095773529988147,review,GENERAL_RISK,0
1020012,2026-12-10 08:11:49,47917,2165,grocery,card_present,4.62,0.0722427691195048,approve,GENERAL_RISK,0
1020013,2026-12-10 08:12:19,110539,5749,electronics,transfer,320.02,0.1462718061145687,review,AMOUNT_SPIKE,0
1020014,2026-12-10 08:13:40,102278,3760,fashion,card_present,52.02,0.0446109077714464,approve,GENERAL_RISK,0
1020015,2026-12-10 08:14:01,39889,6826,grocery,card_present,42.07,0.0545567298454999,approve,AMOUNT_SPIKE,0
1020016,2026-12-10 08:15:23,68046,10030,grocery,ecommerce,11.05,0.0564381998088805,approve,GENERAL_RISK,0
1020017,2026-12-10 08:16:39,87681,6199,restaurants,card_present,4.08,0.0920063016743147,approve,HIGH_IP_RISK,0
1020018,2026-12-10 08:17:21,58749,3114,utilities,transfer,32.24,0.0407979726407226,approve,GENERAL_RISK,0
1020019,2026-12-10 08:18:02,116893,773,grocery,card_present,12.15,0.0233764503276473,approve,GENERAL_RISK,0
1020020,2026-12-10 08:19:26,115043,7342,fashion,transfer,24.07,0.0191018525397566,approve,GENERAL_RISK,0
1020021,2026-12-10 08:20:45,61575,8537,fashion,card_present,46.43,0.020885764867037,approve,GENERAL_RISK,0
1020022,2026-12-10 08:21:21,74168,7422,fashion,ecommerce,19.6,0.0345790081590727,approve,GENERAL_RISK,0
1020023,2026-12-10 08:22:03,49801,1269,fashion,ecommerce,21.57,0.0241551298554672,approve,GENERAL_RISK,0
1020024,2026-12-10 08:23:20,70011,5403,travel,ecommerce,41.18,0.0542784249652792,approve,GENERAL_RISK,0
1020025,2026-12-10 08:24:44,10013,10145,utilities,ecommerce,69.44,0.0390960568881412,approve,GENERAL_RISK,0
1020026,2026-12-10 08:25:19,114998,823,fuel,card_present,9.72,0.077176724774697,approve,HIGH_IP_RISK,0
1020027,2026-12-10 08:26:56,91679,2401,fuel,ecommerce,23.96,0.0595147869113932,approve,GENERAL_RISK,0
1020028,2026-12-10 08:27:55,109163,9186,fuel,card_present,82.62,0.2411129664250454,review,AMOUNT_SPIKE,0
