feature,coefficient,abs_importance
ip_risk_score,0.6353785877698159,0.6353785877698159
distance_from_home_km,0.2720012183852834,0.2720012183852834
drift_flag,0.2202590535125707,0.2202590535125707
velocity_1h,0.19570884879623518,0.19570884879623518
account_age_days,-0.19306368929918682,0.19306368929918682
chargeback_history_count,0.1256805375313703,0.1256805375313703
night_flag,0.11586511675692104,0.11586511675692104
amount_gbp,0.07126988467659048,0.07126988467659048
weekend_flag,0.056828106720288964,0.056828106720288964
avg_amount_30d,-0.006610134058168304,0.006610134058168304
velocity_24h,0.006230485007713212,0.006230485007713212
merchant_id,-0.005461032826652535,0.005461032826652535
amount_vs_avg_30d,-0.0028365197813074506,0.0028365197813074506
customer_id,0.002728231227485964,0.002728231227485964
